character,frequency,onyomi,kunyomi,jlpt,meaning
堀,1285,クツ,ほり,1,ditch; moat; canal
幌,1309,コウ,ほろ とばり,,canopy; awning; hood; curtain
奔,1884,ホン,はし.る,1,run; bustle
本,10,ホン,もと,4,book; present; main; origin; true; real; counter for long cylindrical things
翻,1465,ホン ハン,ひるがえ.る ひるがえ.す,1,flip; turn over; wave; flutter; change (mind)
凡,1730,ボン ハン,およ.そ おうよ.そ すべ.て,1,commonplace; ordinary; mediocre
盆,1654,ボン,,1,basin; lantern festival; tray
摩,1252,マ,ま.する さす.る す.る,1,chafe; rub; polish; grind; scrape
磨,1608,マ,みが.く す.る,2,grind; polish; scour; improve; brush (teeth)
魔,1514,マ,,1,witch; demon; evil spirit
麻,1142,マ マア,あさ,1,hemp; flax; numb
埋,1110,マイ,う.める う.まる う.もれる うず.める うず.まる い.ける,2,bury; be filled up; embedded
妹,1446,マイ,いもうと,3,younger sister
昧,,マイ バイ,くら.い むさぼ.る,,dark; foolish
枚,911,マイ バイ,,2,sheet of...; counter for flat thin objects or sheets
毎,436,マイ,ごと -ごと.に,4,every
哩,,リ,まいる,,mile
槙,1983,テン シン,まき こずえ,1,twig; ornamental evergreen
幕,835,マク バク,とばり,1,curtain; bunting; act of play
膜,1804,マク,,1,membrane
枕,2084,チン シン,まくら,,pillow
鮪,,キ ユウ イ,まぐろ しび,,tuna
柾,,,まさ まさめ まさき,1,straight grain; spindle tree; (kokuji)
鱒,2482,ソン セン ザン,ます,,salmon trout
桝,2401,,ます,,measuring box; (kokuji)
亦,,エキ ヤク,また,1,also; again
俣,1585,,また,,crotch; thigh; groin; fork; junction; (kokuji)
又,1874,ユウ,また また- また.の-,1,or again; furthermore; on the other hand
抹,2006,マツ,,1,rub; paint; erase
末,456,マツ バツ,すえ うら うれ,2,end; close; tip; powder; posterity
沫,,マツ バツ,あわ しぶき つばき,,splash; suds
迄,,キツ,まで およ.ぶ,,until; up to; as far as; to the extent
侭,,ジン,まま ことごとく,,as it is; because
繭,2495,ケン,まゆ きぬ,1,cocoon
麿,,,まろ,1,I; you; (kokuji)
万,375,マン バン,よろず,4,"ten thousand; 10,000"
慢,1368,マン,,1,ridicule; laziness
満,515,マン バン,み.ちる み.つ み.たす,2,full; fullness; enough; satisfy
漫,1408,マン,みだり.に そぞ.ろ,1,cartoon; involuntarily; unrestrained; in spite of oneself; corrupt
蔓,,マン バン,はびこ.る つる,,vine; tendril; influence; connections; good offices; spread; sprawl; thrive; rampant; powerful
味,442,ミ,あじ あじ.わう,3,flavor; taste
未,650,ミ ビ,いま.だ ま.だ ひつじ,2,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac
魅,1206,ミ,,1,fascination; charm; bewitch
巳,2142,シ,み,1,sign of the snake or serpent; 9-11AM; sixth sign of Chinese zodiac
箕,2023,キ,み,,winnowing
岬,1972,コウ,みさき,1,headland; cape; spit; promontory
密,815,ミツ,ひそ.か,1,secrecy; density (pop); minuteness; carefulness
蜜,2203,ミツ ビツ,,,honey; nectar; molasses
湊,2222,ソウ,みなと あつ.まる,,port; harbor
蓑,,サ サイ,みの,,straw raincoat
稔,1775,ネン ジン ニン,みの.る みのり,1,harvest; ripen
脈,1477,ミャク,すじ,1,vein; pulse; hope
妙,1122,ミョウ ビョウ,たえ,1,exquisite; strange; queer; mystery; miracle; excellent; delicate; charming
粍,,,ミリ ミリメートル,,millimeter; (kokuji)
民,28,ミン,たみ,3,people; nation; subjects
眠,1315,ミン,ねむ.る ねむ.い,2,sleep; die; sleepy
務,111,ム,つと.める,2,task; duties
夢,943,ム ボウ,ゆめ ゆめ.みる くら.い,2,dream; vision; illusion
無,274,ム ブ,な.い,2,nothingness; none; ain't; nothing; nil; not
牟,2092,ボウ ム,,,pupil (eye); moo (cow sound)
矛,1538,ム ボウ,ほこ,1,halberd; arms; festival float
霧,1747,ム ボウ ブ,きり,1,fog; mist
鵡,,ブ ム,,,cockatoo
椋,,リョウ,むく,1,type of deciduous tree; grey starling
婿,2099,セイ,むこ,1,bridegroom; son-in-law
娘,1145,ジョウ,むすめ こ,2,daughter; girl
冥,2349,メイ ミョウ,くら.い,,dark
名,177,メイ ミョウ,な -な,4,name; noted; distinguished; reputation
命,465,メイ ミョウ,いのち,2,fate; command; decree; destiny; life; appoint
明,67,メイ ミョウ ミン,あ.かり あか.るい あか.るむ あか.らむ あき.らか あ.ける -あ.け あ.く あ.くる あ.かす,3,bright; light
盟,587,メイ,,1,alliance; oath
迷,942,メイ,まよ.う,2,astray; be perplexed; in doubt; lost; err; illusion
銘,1394,メイ,,1,inscription; signature (of artisan)
鳴,1279,メイ,な.く な.る な.らす,2,chirp; cry; bark; sound; ring; echo; honk
姪,,テツ チツ ジチ イツ イチ,めい おい,,niece
牝,2300,ヒン,めす め- めん,,female
滅,1222,メツ,ほろ.びる ほろ.ぶ ほろ.ぼす,1,destroy; ruin; overthrow; perish
免,1080,メン,まぬか.れる まぬが.れる,1,excuse; dismissal
棉,,メン,わた,,cotton
綿,1495,メン,わた,2,cotton
緬,,メン ベン,,,fine thread; Burma
面,186,メン ベン,おも おもて つら,2,mask; face; features; surface
麺,2331,メン ベン,むぎこ,,noodles; wheat flour
摸,,モ モウ バク ボ マク,,,search; imitate; copy
模,668,モ ボ,,1,imitation; copy; mock
茂,1188,モ,しげ.る,1,overgrown; grow thick; be luxuriant
妄,2264,モウ ボウ,みだ.りに,1,delusion; unnecessarily; without authority; reckless
孟,2127,モウ ボウ ミョウ,かしら,1,chief; beginning
毛,1179,モウ,け,2,fur; hair; feather; down
猛,1301,モウ,,1,fierce; rave; rush; become furious; wildness; strength
盲,1767,モウ,めくら,1,blind; blind man; ignoramus
網,1194,モウ,あみ,1,netting; network
耗,,モウ コウ,,1,decrease
蒙,2360,モウ ボウ,こうむ.る おお.う くら.い,,ignorance; darkness; get; receive; be subjected to; sustain; Mongolia
儲,2442,チョ,もう.ける もう.かる もうけ たくわ.える,,be profitable; yield profit
木,317,ボク モク,き こ-,4,tree; wood
黙,1338,モク ボク,だま.る もだ.す,1,silence; become silent; stop speaking; leave as is
目,76,モク ボク,め -め ま-,4,eye; class; look; insight; experience; care; favor
杢,,,もく,,woodworker; (kokuji)
勿,,モチ ブツ ボツ,なか.れ なし,,not; must not; do not; be not
餅,2152,ヘイ ヒョウ,もち もちい,,mochi rice cake
尤,,ユウ,もっと.も とが.める,,reasonable; just; natural; superb; outstanding; plausible
戻,890,レイ,もど.す もど.る,2,re-; return; revert; resume; restore; go backwards
籾,,,もみ,,unhulled rice; (kokuji)
貰,2441,セイ シャ,もら.う,,get; have; obtain
問,64,モン,と.う と.い とん,3,question; ask; problem
悶,,モン,もだ.える もだえ.る,,be in agony; worry
紋,1519,モン,,1,family crest; figures
門,452,モン,かど と,3,gate; counter for cannons
匁,,,もんめ め,1,monme; 3.75 grams; (kokuji)
也,1404,ヤ エ,なり か また,1,to be (classical)
冶,,ヤ,い.る,1,melting; smelting
夜,487,ヤ,よ よる,3,night; evening
爺,,ヤ,じい じじい おやじ じじ ちち,,old man; grampa
耶,,ヤ ジャ,か,1,question mark
野,120,ヤ ショ,の の-,3,plains; field; rustic; civilian life
弥,1687,ミ ビ,や いや いよ.いよ わた.る,1,all the more; increasingly
矢,1294,シ,や,1,dart; arrow
厄,2123,ヤク,,1,unlucky; misfortune; bad luck; disaster
役,315,ヤク エキ,,2,duty; war; campaign; drafted labor; office; service; role
約,94,ヤク,つづ.まる つづ.める つづま.やか,2,promise; approximately; shrink
薬,702,ヤク,くすり,3,medicine; chemical; enamel; gunpowder; benefit
訳,1050,ヤク,わけ,1,translate; reason; circumstance; case
躍,900,ヤク,おど.る,1,leap; dance; skip
靖,1390,セイ ジョウ,やす.んじる,1,peaceful
柳,1169,リュウ,やなぎ,1,willow
薮,2109,ソウ,やぶ,,thicket; bush; underbrush; grove
鑓,,,やり,,spear; javelin; (kokuji)
愉,1974,ユ,たの.しい たの.しむ,1,pleasure; happy; rejoice
愈,,ユ,いよいよ まさ.る,,be superior; heal; more and more; increasingly; finally; beyond doubt
油,690,ユ ユウ,あぶら,2,oil; fat
癒,1667,ユ,い.える いや.す い.やす,1,healing; cure; quench (thirst); wreak
諭,1461,ユ,さと.す,1,rebuke; admonish; charge; warn; persuade
輸,371,ユ シュ,,2,transport; send; be inferior
唯,1292,ユイ イ,ただ,1,solely; only; merely; simply
佑,2250,ユウ ウ,たす.ける,1,help; assist
優,334,ユウ ウ,やさ.しい すぐ.れる まさ.る,2,tenderness; excel; surpass; actor; superiority; gentleness
勇,1319,ユウ,いさ.む,2,courage; cheer up; be in high spirits; bravery; heroism
友,622,ユウ,とも,4,friend
宥,,ユウ,なだ.める ゆる.す,1,soothe; calm; pacify
幽,1996,ユウ,ふか.い かす.か くら.い しろ.い,1,seclude; confine to a room; deep; profound; secluded; faint; dark; tranquil; calm
悠,1921,ユウ,,1,permanence; distant; long time; leisure
憂,1625,ユウ,うれ.える うれ.い う.い う.き,1,melancholy; grieve; lament; be anxious; sad; unhappy
揖,,イツ ユ シュウ ユウ,,,bow with arms folded; come together; assemble
有,282,ユウ ウ,あ.る,3,possess; have; exist; happen; occur; approx
柚,2489,ユ ユウ ジク,ゆず,1,citron
湧,2070,ユウ ヨウ ユ,わ.く,1,boil; ferment; seethe; uproar; breed
涌,,ユウ ヨウ ユ,わ.く,,boil; ferment; seethe; uproar; breed
猶,1799,ユウ ユ,なお,1,furthermore; still; yet
猷,2392,ユウ ヨウ,はかりごと はか.る,,plan; scheme; plot; way
由,325,ユ ユウ ユイ,よし よ.る,2,wherefore; a reason
祐,1706,ユウ ウ,たす.ける,1,help
裕,1048,ユウ,,1,abundant; rich; fertile
誘,993,ユウ,さそ.う いざな.う,1,entice; lead; tempt; invite; ask; call for; seduce; allure
遊,941,ユウ ユ,あそ.ぶ あそ.ばす,2,play
邑,2452,ユウ,むら,1,village; rural community; right village radical (no. 163)
郵,917,ユウ,,2,mail; stagecoach stop
雄,669,ユウ,お- おす おん,1,masculine; male; hero; leader; superiority; excellence
融,481,ユウ,と.ける と.かす,1,dissolve; melt
夕,924,セキ,ゆう,3,evening
予,180,ヨ シャ,あらかじ.め,2,beforehand; previous; myself; I
余,680,ヨ,あま.る あま.り あま.す あんま.り,2,too much; myself; surplus; other; remainder
与,308,ヨ,あた.える あずか.る くみ.する ともに,2,bestow; participate in; give; award; impart; provide; cause; gift; godsend
誉,1064,ヨ,ほま.れ ほ.める,1,reputation; praise; honor; glory
輿,,ヨ,かご こし,,palanquin; bier; public opinion; the earth
預,981,ヨ,あず.ける あず.かる,2,deposit; custody; leave with; entrust to
傭,,ヨウ チョウ,やと.う あた.い ひと.しい,,employ; hire
幼,1227,ヨウ,おさな.い,2,infancy; childhood
妖,1964,ヨウ,あや.しい なま.めく わざわ.い,,attractive; bewitching; calamity
容,264,ヨウ,い.れる,2,contain; form; looks
庸,2038,ヨウ,,1,commonplace; ordinary; employment
揚,1316,ヨウ,あ.げる -あ.げ あ.がる,1,raise; elevate; hoist; praise; extol; fry in deep fat
揺,1079,ヨウ,ゆ.れる ゆ.る ゆ.らぐ ゆ.るぐ ゆ.する ゆ.さぶる ゆ.すぶる うご.く,1,swing; shake; sway; rock; tremble; vibrate
擁,1213,ヨウ,,1,hug; embrace; possess; protect; lead
曜,940,ヨウ,,3,weekday
楊,1815,ヨウ,やなぎ,1,willow
様,493,ヨウ ショウ,さま さん,2,Esq.; way; manner; situation; polite suffix
洋,763,ヨウ,,3,ocean; sea; foreign; Western style
溶,1364,ヨウ,と.ける と.かす と.く,2,melt; dissolve; thaw
熔,,ヨウ,と.ける と.かす いがた,,fuse; melt
用,107,ヨウ,もち.いる,3,utilize; business; service; use; employ
窯,2072,ヨウ,かま,1,kiln; oven; furnace
羊,1852,ヨウ,ひつじ,1,sheep
耀,2253,ヨウ,かがや.く ひかり,1,shine; sparkle; gleam; twinkle
葉,414,ヨウ,は,2,leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
蓉,,ヨウ,,1,lotus
要,106,ヨウ,い.る かなめ,2,need; main point; essence; pivot; key to
謡,1580,ヨウ,うた.い うた.う,1,song; sing; ballad; noh chanting
踊,1308,ヨウ,おど.る,2,jump; dance; leap; skip
遥,2376,ヨウ,はる.か,1,far off; distant; long ago
陽,1071,ヨウ,ひ,2,sunshine; yang principle; positive; male; heaven; daytime
養,888,ヨウ リョウ,やしな.う,1,foster; bring up; rear; develop; nurture
慾,,ヨク,,,covetousness; greed; passion; desire; craving
抑,834,ヨク,おさ.える,1,repress; well; now; in the first place; push; shove; press; seal; do in spite of
欲,902,ヨク,ほっ.する ほ.しい,2,longing; covetousness; greed; passion; desire; craving
沃,,ヨウ ヨク オク,そそ.ぐ,,fertility
浴,1136,ヨク,あ.びる あ.びせる,2,bathe; be favored with; bask in
翌,1070,ヨク,,2,the following; next
翼,1201,ヨク,つばさ,1,wing; plane; flank
淀,1987,テン デン,よど.む,,pool; eddy
羅,1831,ラ,うすもの,1,gauze; thin silk; Rome; arrange; spread out
螺,,ラ,にし にな,,"small, edible, helical fresh-water mollusk"
裸,1796,ラ,はだか,1,naked; nude; uncovered; partially clothed
来,102,ライ タイ,く.る きた.る きた.す き.たす き.たる き こ,4,come; due; next; cause; become
莱,,ライ リ,あかざ あわち こうがい,,goosefoot; pigweed
頼,708,ライ,たの.む たの.もしい たよ.る,2,trust; request
雷,1491,ライ,かみなり いかずち いかづち,1,thunder; lightning bolt
洛,2302,ラク,,,Kyoto; the capital
絡,806,ラク,から.む から.まる,2,entwine; coil around; get caught in
落,420,ラク,お.ちる お.ち お.とす,2,fall; drop; come down; village; hamlet
酪,2012,ラク,,1,dairy products; whey; broth; fruit juice
乱,755,ラン ロン,みだ.れる みだ.る みだ.す みだ おさ.める わた.る,2,riot; war; disorder; disturb
卵,1342,ラン,たまご,2,egg; ovum; spawn; roe
嵐,1910,ラン,あらし,1,storm; tempest
欄,1523,ラン,てすり,1,column; handrail; blank; space
濫,,ラン,みだ.りに みだ.りがましい,1,excessive; overflow; spread out
藍,2043,ラン,あい,1,indigo
蘭,1886,ラン ラ,,1,orchid; Holland
覧,1510,ラン,み.る,1,perusal; see
利,203,リ,き.く,2,profit; advantage; benefit
吏,,リ,,1,officer; an official
履,1619,リ,は.く,1,perform; complete; footgear; shoes; boots; put on (the feet)
李,1147,リ,すもも,1,plum
梨,1331,リ,なし,1,pear tree
理,86,リ,ことわり,3,logic; arrangement; reason; justice; truth
璃,,リ,,1,glassy; lapis lazuli
痢,2037,リ,,1,diarrhea
裏,812,リ,うら,2,back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side
裡,,リ,うち うら,,reverse; inside; palm; sole; rear; lining; wrong side
里,1096,リ,さと,1,ri; village; parent's home; league
離,555,リ,はな.れる はな.す,1,detach; separation; disjoin; digress
陸,736,リク ロク,おか,2,land; six
律,992,リツ リチ レツ,,2,rhythm; law; regulation; gauge; control
率,383,ソツ リツ シュツ,ひき.いる,2,ratio; rate; proportion; %; factor; lead; spearhead; command
立,58,リツ リュウ リットル,た.つ -た.つ た.ち- た.てる -た.てる た.て- たて- -た.て -だ.て -だ.てる,4,stand up; rise; set up; erect
葎,,リツ,むぐら,,creepers; trailing plants; vines
掠,,リャク リョウ,かす.める かす.る かす.れる,,pillage; rob; graze; skim; sweep over; cheat; hint
略,774,リャク,ほぼ はぶ.く おか.す おさ.める はかりごと はか.る,2,abbreviation; omission; outline; shorten; capture; plunder
劉,1947,リュウ ル,ころ.す,,"weapon of war; logging axe; kill en masse; peeling (paint off a wall, etc); sparse; faded"
流,280,リュウ ル,なが.れる なが.れ なが.す -なが.す,2,current; a sink; flow; forfeit
溜,2451,リュウ,た.まる たま.る た.める したた.る たまり ため,,collect; gather; be in arrears
琉,2036,リュウ ル,,1,precious stone; gem; lapis lazuli
留,731,リュウ ル,と.める と.まる とど.める とど.まる るうぶる,2,detain; fasten; halt; stop
硫,1867,リュウ,,1,sulphur
粒,1635,リュウ,つぶ,2,grains; drop; counter for tiny particles
隆,1109,リュウ,,1,hump; high; noble; prosperity
竜,1195,リュウ リョウ ロウ,たつ いせ,1,dragon; imperial
龍,1734,リュウ リョウ ロウ,たつ,,dragon; imperial
侶,,リョ ロ,とも,,companion; follower
慮,916,リョ,おもんぱく.る おもんぱか.る,1,prudence; thought; concern; consider; deliberate; fear
旅,783,リョ,たび,3,trip; travel
虜,1678,リョ ロ,とりこ とりく,1,captive; barbarian; low epithet for the enemy
了,792,リョウ,,2,complete; finish
亮,1821,リョウ,あきらか,1,clear; help
僚,709,リョウ,,1,colleague; official; companion
両,247,リョウ,てる ふたつ,2,"both; old Japanese coin; counter for carriages (e.g., in a train); two"
