character,frequency,onyomi,kunyomi,jlpt,meaning
曳,,エイ,ひ.く,,pull; tug; jerk; admit; install; quote; refer to
栄,920,エイ ヨウ,さか.える は.え -ば.え は.える え,2,flourish; prosperity; honor; glory; splendor
永,846,エイ,なが.い,2,eternity; long; lengthy
泳,1223,エイ,およ.ぐ,2,swim
洩,,エイ セツ,も.らす の.びる も.れる,,leak; escape
瑛,2393,エイ,,1,sparkle of jewelry; crystal
盈,,エイ,み.たす み.ちる,,fullness; enough; pride; satisfy
穎,,エイ,ほさき のぎ,,heads of grain; cleverness
頴,,エイ,ほさき のぎ,,heads of grain; cleverness
英,430,エイ,はなぶさ,3,England; English; hero; outstanding; calyx
衛,400,エイ エ,,1,defense; protection
詠,2000,エイ,よ.む うた.う,1,recitation; poem; song; composing
鋭,1395,エイ,するど.い,2,pointed; sharpness; edge; weapon; sharp; violent
液,1210,エキ,,2,fluid; liquid; juice; sap; secretion
疫,1661,エキ ヤク,,1,epidemic
益,674,エキ ヤク,ま.す,1,benefit; gain; profit; advantage
駅,724,エキ,,4,station
悦,1762,エツ,よろこ.ぶ よろこ.ばす,1,ecstasy; joy; rapture
謁,,エツ,,1,audience; audience (with king)
越,897,エツ オツ,こ.す -こ.す -ご.し こ.える -ご.え,2,surpass; cross over; move to; exceed; Vietnam
閲,1855,エツ,けみ.する,1,review; inspection; revision
榎,1945,カ,えのき,,lotus tree; nettle tree; hackberry
厭,,エン オン アン オウ ユウ ヨウ,いや あ.きる いと.う おさ.える,,get tired of; satiate; bore; dislike; disagreeable; unwelcome
円,69,エン,まる.い まる まど まど.か まろ.やか,4,circle; yen; round
園,628,エン,その,2,park; garden; yard; farm
堰,1913,エン,せき せ.く,,dam; prevent; stop up
奄,2047,エン,おお.う たちまち,,cover; suffocate; obstruct
宴,1675,エン,うたげ,1,banquet; feast; party
延,747,エン,の.びる の.べる の.べ の.ばす,2,prolong; stretching
怨,2137,エン オン ウン,うら.む うらみ うら.めしい,,grudge; show resentment; be jealous
掩,,エン,おお.う,,cover; conceal
援,312,エン,,1,abet; help; save
沿,1121,エン,そ.う -ぞ.い,1,run alongside; follow along; run along; lie along
演,267,エン,,2,performance; act; play; render; stage
炎,1242,エン,ほのお,1,inflammation; flame; blaze
焔,,エン,ほのお,,flame; blaze
煙,1290,エン,けむ.る けむり けむ.い,2,smoke
燕,2147,エン,つばめ つばくら つばくろ,,swallow (bird)
猿,1772,エン,さる,1,monkey
縁,1291,エン -ネン,ふち ふち.どる ゆかり よすが へり えにし,1,affinity; relation; connection; edge; border; verge; brink
艶,2207,エン,つや なま.めかしい あで.やか つや.めく なま.めく,1,glossy; luster; glaze; polish; charm; colorful; captivating
苑,2060,エン オン,その う.つ,1,garden; farm; park
薗,,エン オン,その,,garden; yard; farm
遠,887,エン オン,とお.い,3,distant; far
鉛,1710,エン,なまり,1,lead
鴛,,エン オン,おし おしどり,,male mandarin duck
塩,1148,エン,しお,2,salt
於,2113,オ ヨ,おい.て お.ける ああ より,1,at; in; on; as for
汚,908,オ,けが.す けが.れる けが.らわしい よご.す よご.れる きたな.い,2,dirty; pollute; disgrace; rape; defile
甥,,セイ ソウ ショウ,おい むこ,,nephew
凹,2206,オウ,くぼ.む へこ.む ぼこ,1,concave; hollow; sunken
央,582,オウ,,2,center; middle
奥,1018,オウ,おく おく.まる くま,2,heart; interior
往,1421,オウ,い.く いにしえ さき.に ゆ.く,1,journey; travel; chase away; let go; going; before; formerly
応,266,オウ ヨウ -ノウ,あた.る まさに こた.える,2,apply; answer; yes; OK; reply; accept
押,789,オウ,お.す お.し- お.っ- お.さえる おさ.える,2,push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of
旺,2342,オウ,さかん,1,flourishing; successful; beautiful; vigorous
横,480,オウ,よこ,2,sideways; side; horizontal; width; woof; unreasonable; perverse
欧,421,オウ,うた.う は.く,2,Europe
殴,1622,オウ,なぐ.る,1,assault; hit; beat; thrash
王,684,オウ -ノウ,,2,king; rule; magnate
翁,2064,オウ,おきな,1,venerable old man
襖,,オウ,ふすま あお,,opaque sliding door
鴬,,オウ,うぐいす,,nightingale; bush warbler
鴎,2187,オウ,かもめ,,seagull
黄,1240,コウ オウ,き こ-,2,yellow
岡,463,コウ,おか,,mount; hill; knoll
沖,929,チュウ,おき おきつ ちゅう.する わく,1,open sea; offing; rise high into sky
荻,1630,テキ,おぎ,,reed; rush
億,716,オク,,2,hundred million; 10**8
屋,616,オク,や,3,roof; house; shop; dealer; seller
憶,1324,オク,,1,recollection; think; remember
臆,,オク ヨク,むね おくする,,timidity; heart; mind; fear; cowardly
桶,2210,ヨウ トウ,おけ,,tub; bucket
牡,2155,ボ ボウ,おす お- おん-,,male
乙,1841,オツ イツ,おと- きのと,1,the latter; duplicate; strange; witty; fishhook radical (no. 5)
俺,1946,エン,おれ われ,,I; myself
卸,1520,シャ,おろ.す おろし おろ.し,1,wholesale
恩,1418,オン,,1,grace; kindness; goodness; favor; mercy; blessing; benefit
温,838,オン,あたた.か あたた.かい あたた.まる あたた.める ぬく,2,warm
穏,1535,オン,おだ.やか,1,calm; quiet; moderation
音,491,オン イン -ノン,おと ね,3,sound; noise
下,97,カ ゲ,した しも もと さ.げる さ.がる くだ.る くだ.り くだ.す -くだ.す くだ.さる お.ろす お.りる,4,below; down; descend; give; low; inferior
化,89,カ ケ,ば.ける ば.かす ふ.ける け.する,2,change; take the form of; influence; enchant; delude; -ization
仮,1039,カ ケ,かり かり-,2,sham; temporary; interim; assumed (name); informal
何,340,カ,なに なん なに- なん-,4,what
伽,2323,カ ガ キャ ギャ,とぎ,1,nursing; attending; entertainer
価,250,カ ケ,あたい,2,value; price
佳,1643,カ,,1,excellent; beautiful; good; pleasing; skilled
加,130,カ,くわ.える くわ.わる,2,add; addition; increase; join; include; Canada
可,314,カ コク,-べ.き -べ.し,2,can; passable; approval
